f_room_type,f_neighbourhood_cleansed,f_parking_free_vs_paid,f_parking_type,f_parking_on_vs_off_premises,euro_price_day,p_host_response_rate,n_accommodates,n_bedrooms,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_balcony,d_bathtub,d_bedlinens,d_breakfast,d_changingtable,d_cleaningproducts,d_complimentarybreakfastbuffet,d_conditioner,d_dedicatedworkspace,d_dedicatedworkspacetable,d_diningareafor12people,d_dryer,d_espressomachine,d_gasstove,d_hairdryer,d_hangers,d_hottub,d_inductionstove,d_ironingboard,d_laundromatnearby,d_luggagestorage,d_nespressomachine,d_piano,d_pool,d_portableairconditioning,d_roomdarkeningshades,d_samsungrefrigerator,d_sunloungers,d_valetparkingu2014u20ac30day,d_wifi,d_windowacunit,price,id,neighbourhood_cleansed,room_type,property_type,parking_free_vs_paid,parking_type,parking_on_vs_off_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,67,100,5,2,1,93,84,2.53,1,3,994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,67,23692785,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,Paid,No_parking,Off_premises,121,NA,4,2,2,97,106,3.2,180,3,992,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,121,23693663,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,48,NA,2,NA,1,92,42,1.26,2,1,1001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,48,23697667,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,Paid,No_parking,Off_premises,57,89,4,1,1,96,116,3.6,3,1,967,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,57,23700822,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,Paid,NA,On_premises,79,NA,3,1,1,96,52,1.63,3,2,957,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,23700941,Centro Storico,Entire home/apt,Apartment,Paid,NA,On_premises
Apt,Centro Storico,Free,NA,On_premises,200,NA,6,3,2,99,26,0.82,2,4,953,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,200,23706225,Centro Storico,Entire home/apt,Apartment,Free,NA,On_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,137,100,6,3,2,98,143,4.28,2,6,1002,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,137,23711890,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,143,100,6,2,1.5,96,9,0.29,1,4,946,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,143,23722002,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,143,100,6,2,1,100,1,0.03,1,4,890,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,143,23722500,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Campo di Marte,Paid,No_parking,Off_premises,45,NA,3,1,1,90,2,0.06,2,2,945,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,45,23725113,Campo di Marte,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,55,NA,4,1,1,97,6,0.22,2,3,815,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,55,23725257,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,60,NA,5,1,2,100,2,0.07,2,4,806,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,23726270,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,Paid,No_parking,On_premises,50,100,4,1,1,97,12,0.57,1,2,627,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,23736077,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,On_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,100,100,2,1,1,97,136,4.15,2,1,981,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,23736103,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,109,100,4,2,1,97,40,1.2,1,3,996,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,109,23737295,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,Paid,No_parking,Off_premises,46,90,2,1,1,96,5,0.16,7,1,917,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,46,23738649,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,106,NA,4,1,1,99,22,0.69,7,2,955,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,106,23739348,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,47,NA,4,2,1,84,135,3.99,1,2,1013,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,47,23743000,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,114,100,6,2,2,96,26,0.78,3,3,994,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,114,23755872,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,Free,No_parking,On_premises,90,100,4,1,1,100,129,3.89,2,1,995,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,90,23757187,Centro Storico,Entire home/apt,Apartment,Free,No_parking,On_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,108,90,3,1,1,89,23,0.69,2,2,994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,108,23758575,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Isolotto Legnaia,Free,No_parking,On_premises,73,100,4,1,1,97,87,2.62,3,2,995,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,73,23761821,Isolotto Legnaia,Entire home/apt,Apartment,Free,No_parking,On_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,161,100,2,1,1,89,38,1.18,2,1,967,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,161,23763200,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,Free,No_parking,On_premises,146,50,4,1,1,98,28,0.86,2,2,973,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,146,23780885,Centro Storico,Entire home/apt,Apartment,Free,No_parking,On_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,60,90,4,1,1,99,69,2.1,2,2,984,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,60,23787565,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Centro Storico,No_parking,No_parking,No_parking,70,90,2,1,1,60,2,0.06,2,1,973,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,70,23797694,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Campo di Marte,Free,NA,On_premises,61,NA,4,1,1,99,73,2.29,2,3,956,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,61,23808269,Campo di Marte,Entire home/apt,Apartment,Free,NA,On_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,75,NA,3,NA,1,92,6,0.19,1,2,969,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,75,23824869,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,120,100,4,2,2,NA,0,NA,30,2,NA,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,120,23827030,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Isolotto Legnaia,Free,NA,Off_premises,49,100,4,1,1,99,93,2.8,1,2,997,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,23835464,Isolotto Legnaia,Entire home/apt,Apartment,Free,NA,Off_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,30,NA,3,1,1,97,26,1.08,3,2,724,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,23849339,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
Apt,Centro Storico,No_parking,No_parking,No_parking,65,100,6,2,2,99,110,3.31,2,3,995,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,65,23851883,Centro Storico,Entire home/apt,Apartment,No_parking,No_parking,No_parking
Apt,Rifredi,Free,NA,On_premises,49,NA,2,1,1,99,61,1.96,2,1,935,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,49,23852592,Rifredi,Entire home/apt,Apartment,Free,NA,On_premises
Apt,Centro Storico,Paid,No_parking,Off_premises,86,100,4,1,1,99,52,1.56,3,1,996,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,86,23852663,Centro Storico,Entire home/apt,Apartment,Paid,No_parking,Off_premises
